Source,NSRDB
Location ID,N/A
City,-
State,-
Country,-
Latitude,36.75
Longitude,-119.77
Time Zone,-8
Elevation,94
Local Time Zone,-8
Clearsky DHI Units,w/m2
Clearsky DNI Units,w/m2
Clearsky GHI Units,w/m2
Dew Point Units,c
DHI Units,w/m2
DNI Units,w/m2
GHI Units,w/m2
Solar Zenith Angle Units,Degree
Temperature Units,c
Pressure Units,mbar
Relative Humidity Units,%
Wind Direction Units,Degrees
Wind Speed Units,m/s
Surface Albedo Units,N/A
Version,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Temperature,Relative Humidity,Surface Pressure,Wind Direction,Wind Speed,Dew Point,Surface Albedo
1998,1,1,0,0,0,0,0,0,0,0,114,4.8,88,1016,315,1.8,2.9,0.18
1998,1,1,1,0,0,0,0,0,0,0,122,4.5,89,1016,310,1.7,2.7,0.18
1998,1,1,2,0,0,0,0,0,0,0,129,4.3,90,1016,305,1.6,2.6,0.18
1998,1,1,3,0,0,0,0,0,0,0,136,4.1,91,1016,300,1.5,2.5,0.18
1998,1,1,4,0,0,0,0,0,0,0,143,3.9,92,1017,295,1.4,2.4,0.18
1998,1,1,5,0,0,0,0,0,0,0,148,3.7,93,1017,290,1.3,2.3,0.18
1998,1,1,6,0,0,0,0,0,0,0,152,3.6,94,1017,285,1.2,2.2,0.18
1998,1,1,7,0,14,38,18,16,43,21,155,4.2,91,1018,295,1.4,2.5,0.18
1998,1,1,8,0,38,156,78,41,171,86,153,6.4,83,1018,315,1.9,3.3,0.18
1998,1,1,9,0,69,288,165,73,315,181,149,9.1,73,1018,330,2.4,4.3,0.18
1998,1,1,10,0,95,405,246,99,441,269,142,11.8,65,1017,340,2.9,5.2,0.18
1998,1,1,11,0,110,478,308,115,520,337,133,14.0,58,1017,345,3.3,5.9,0.18
1998,1,1,12,0,118,509,342,123,548,371,121,15.7,52,1016,350,3.6,6.4,0.18
1998,1,1,13,0,115,497,331,120,535,360,110,16.8,48,1016,355,3.7,6.7,0.18
1998,1,1,14,0,105,454,287,108,488,312,100,17.2,46,1015,350,3.6,6.8,0.18
1998,1,1,15,0,87,373,222,89,389,242,92,16.8,48,1015,345,3.4,6.7,0.18
1998,1,1,16,0,62,268,150,64,278,164,87,15.6,51,1015,340,3.1,6.4,0.18
1998,1,1,17,0,32,115,63,33,121,68,86,13.9,56,1016,335,2.7,5.9,0.18
1998,1,1,18,0,0,0,0,0,0,0,89,11.8,63,1016,330,2.3,5.2,0.18
1998,1,1,19,0,0,0,0,0,0,0,98,10.2,69,1017,325,2.1,4.8,0.18
1998,1,1,20,0,0,0,0,0,0,0,106,8.9,74,1017,320,1.9,4.4,0.18
1998,1,1,21,0,0,0,0,0,0,0,112,7.9,78,1017,315,1.8,4.1,0.18
1998,1,1,22,0,0,0,0,0,0,0,118,7.2,82,1017,310,1.7,3.9,0.18
1998,1,1,23,0,0,0,0,0,0,0,124,6.6,85,1017,305,1.6,3.7,0.18
