Source,NSRDB
Location ID,N/A
City,-
State,-
Country,-
Latitude,38.58
Longitude,-121.49
Time Zone,-8
Elevation,7
Local Time Zone,-8
Clearsky DHI Units,w/m2
Clearsky DNI Units,w/m2
Clearsky GHI Units,w/m2
Dew Point Units,c
DHI Units,w/m2
DNI Units,w/m2
GHI Units,w/m2
Solar Zenith Angle Units,Degree
Temperature Units,c
Pressure Units,mbar
Relative Humidity Units,%
Wind Direction Units,Degrees
Wind Speed Units,m/s
Surface Albedo Units,N/A
Version,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Temperature,Relative Humidity,Surface Pressure,Wind Direction,Wind Speed,Dew Point,Surface Albedo
1998,1,1,0,0,0,0,0,0,0,0,117,5.2,85,1018,180,2.1,2.8,0.18
1998,1,1,1,0,0,0,0,0,0,0,125,4.9,86,1018,175,2.0,2.6,0.18
1998,1,1,2,0,0,0,0,0,0,0,132,4.7,87,1018,170,1.9,2.5,0.18
1998,1,1,3,0,0,0,0,0,0,0,139,4.5,88,1018,165,1.8,2.4,0.18
1998,1,1,4,0,0,0,0,0,0,0,145,4.3,89,1019,160,1.7,2.3,0.18
1998,1,1,5,0,0,0,0,0,0,0,150,4.1,90,1019,155,1.6,2.2,0.18
1998,1,1,6,0,0,0,0,0,0,0,154,4.0,91,1019,150,1.5,2.1,0.18
1998,1,1,7,0,11,28,13,13,33,16,157,4.5,88,1020,160,1.7,2.4,0.18
1998,1,1,8,0,32,125,64,36,138,71,155,6.1,81,1020,180,2.1,3.0,0.18
1998,1,1,9,0,61,248,142,64,272,157,151,8.3,72,1020,195,2.5,3.8,0.18
1998,1,1,10,0,84,358,218,88,392,240,144,10.5,65,1019,205,2.9,4.5,0.18
1998,1,1,11,0,98,425,272,102,465,299,135,12.2,59,1019,215,3.2,5.0,0.18
1998,1,1,12,0,105,455,303,109,492,329,124,13.4,54,1018,220,3.4,5.3,0.18
1998,1,1,13,0,102,444,293,107,482,319,114,14.0,51,1018,225,3.5,5.5,0.18
1998,1,1,14,0,93,405,254,96,438,277,104,14.2,50,1017,220,3.4,5.4,0.18
1998,1,1,15,0,77,333,196,79,348,214,96,13.7,52,1017,215,3.2,5.3,0.18
1998,1,1,16,0,55,235,134,57,243,146,91,12.6,55,1017,210,3.0,5.0,0.18
1998,1,1,17,0,26,92,48,27,97,52,89,11.1,60,1018,200,2.7,4.6,0.18
1998,1,1,18,0,0,0,0,0,0,0,92,9.4,66,1018,190,2.4,4.1,0.18
1998,1,1,19,0,0,0,0,0,0,0,101,8.2,71,1019,185,2.2,3.7,0.18
1998,1,1,20,0,0,0,0,0,0,0,109,7.3,75,1019,180,2.1,3.5,0.18
1998,1,1,21,0,0,0,0,0,0,0,115,6.7,78,1019,175,2.0,3.3,0.18
1998,1,1,22,0,0,0,0,0,0,0,121,6.2,81,1019,170,1.9,3.1,0.18
1998,1,1,23,0,0,0,0,0,0,0,127,5.8,83,1019,165,1.8,3.0,0.18
