Source,NSRDB
Location ID,N/A
City,-
State,-
Country,-
Latitude,32.72
Longitude,-117.16
Time Zone,-8
Elevation,19
Local Time Zone,-8
Clearsky DHI Units,w/m2
Clearsky DNI Units,w/m2
Clearsky GHI Units,w/m2
Dew Point Units,c
DHI Units,w/m2
DNI Units,w/m2
GHI Units,w/m2
Solar Zenith Angle Units,Degree
Temperature Units,c
Pressure Units,mbar
Relative Humidity Units,%
Wind Direction Units,Degrees
Wind Speed Units,m/s
Surface Albedo Units,N/A
Version,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Temperature,Relative Humidity,Surface Pressure,Wind Direction,Wind Speed,Dew Point,Surface Albedo
1998,1,1,0,0,0,0,0,0,0,0,111,13.8,62,1015,280,2.8,6.5,0.18
1998,1,1,1,0,0,0,0,0,0,0,119,13.5,64,1015,278,2.7,6.4,0.18
1998,1,1,2,0,0,0,0,0,0,0,127,13.2,66,1015,275,2.6,6.3,0.18
1998,1,1,3,0,0,0,0,0,0,0,134,12.9,68,1015,272,2.5,6.2,0.18
1998,1,1,4,0,0,0,0,0,0,0,140,12.6,70,1016,270,2.4,6.1,0.18
1998,1,1,5,0,0,0,0,0,0,0,146,12.3,72,1016,268,2.3,6.0,0.18
1998,1,1,6,0,0,0,0,0,0,0,150,12.1,73,1016,265,2.2,5.9,0.18
1998,1,1,7,0,18,52,25,20,58,28,152,12.6,71,1017,270,2.4,6.1,0.18
1998,1,1,8,0,45,189,96,48,205,104,150,14.3,64,1017,280,2.8,6.8,0.18
1998,1,1,9,0,82,335,198,86,365,215,145,16.5,57,1017,290,3.2,7.5,0.18
1998,1,1,10,0,105,448,302,110,485,326,137,18.4,51,1016,295,3.6,8.0,0.18
1998,1,1,11,0,119,515,373,125,556,402,127,19.8,47,1016,300,3.9,8.4,0.18
1998,1,1,12,0,126,542,411,131,578,440,115,20.7,44,1015,305,4.1,8.7,0.18
1998,1,1,13,0,123,531,398,128,566,426,104,21.2,42,1015,310,4.2,8.8,0.18
1998,1,1,14,0,112,485,346,116,519,370,95,21.0,43,1014,305,4.1,8.7,0.18
1998,1,1,15,0,94,403,268,95,421,289,88,20.3,45,1014,300,3.9,8.5,0.18
1998,1,1,16,0,69,295,178,70,305,192,84,19.1,48,1014,295,3.6,8.1,0.18
1998,1,1,17,0,38,142,81,39,148,88,83,17.6,53,1015,290,3.3,7.6,0.18
1998,1,1,18,0,0,0,0,0,0,0,86,16.0,58,1015,285,3.0,7.1,0.18
1998,1,1,19,0,0,0,0,0,0,0,95,15.1,62,1016,280,2.9,6.9,0.18
1998,1,1,20,0,0,0,0,0,0,0,103,14.5,64,1016,278,2.8,6.7,0.18
1998,1,1,21,0,0,0,0,0,0,0,109,14.2,66,1016,275,2.7,6.6,0.18
1998,1,1,22,0,0,0,0,0,0,0,115,13.9,67,1016,272,2.6,6.5,0.18
1998,1,1,23,0,0,0,0,0,0,0,121,13.7,68,1016,270,2.5,6.4,0.18
