Source,NSRDB
Location ID,N/A
City,-
State,-
Country,-
Latitude,37.77
Longitude,-122.42
Time Zone,-8
Elevation,16
Local Time Zone,-8
Clearsky DHI Units,w/m2
Clearsky DNI Units,w/m2
Clearsky GHI Units,w/m2
Dew Point Units,c
DHI Units,w/m2
DNI Units,w/m2
GHI Units,w/m2
Solar Zenith Angle Units,Degree
Temperature Units,c
Pressure Units,mbar
Relative Humidity Units,%
Wind Direction Units,Degrees
Wind Speed Units,m/s
Surface Albedo Units,N/A
Version,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Temperature,Relative Humidity,Surface Pressure,Wind Direction,Wind Speed,Dew Point,Surface Albedo
1998,1,1,0,0,0,0,0,0,0,0,116,9.2,78,1015,270,4.5,5.6,0.18
1998,1,1,1,0,0,0,0,0,0,0,124,8.9,79,1015,268,4.4,5.4,0.18
1998,1,1,2,0,0,0,0,0,0,0,131,8.7,80,1015,265,4.3,5.3,0.18
1998,1,1,3,0,0,0,0,0,0,0,138,8.5,81,1015,262,4.2,5.2,0.18
1998,1,1,4,0,0,0,0,0,0,0,144,8.3,82,1016,260,4.1,5.1,0.18
1998,1,1,5,0,0,0,0,0,0,0,149,8.1,83,1016,258,4.0,5.0,0.18
1998,1,1,6,0,0,0,0,0,0,0,153,8.0,84,1016,255,3.9,4.9,0.18
1998,1,1,7,0,12,32,15,14,38,18,156,8.3,82,1017,260,4.0,5.1,0.18
1998,1,1,8,0,35,142,72,38,156,79,154,9.5,76,1017,270,4.3,5.6,0.18
1998,1,1,9,0,65,268,152,68,295,167,150,11.2,69,1017,280,4.7,6.2,0.18
1998,1,1,10,0,89,378,228,92,409,251,143,12.8,63,1017,285,5.0,6.7,0.18
1998,1,1,11,0,102,442,281,107,478,309,134,13.9,58,1016,290,5.3,7.0,0.18
1998,1,1,12,0,109,471,312,115,505,340,123,14.6,55,1016,295,5.5,7.2,0.18
1998,1,1,13,0,107,461,301,112,494,329,112,14.9,53,1015,300,5.6,7.3,0.18
1998,1,1,14,0,97,419,261,101,445,285,102,14.7,54,1015,295,5.4,7.2,0.18
1998,1,1,15,0,80,345,201,83,361,220,94,14.2,56,1015,290,5.2,7.0,0.18
1998,1,1,16,0,57,242,131,59,251,143,89,13.3,59,1015,285,4.9,6.7,0.18
1998,1,1,17,0,28,98,52,29,104,57,88,12.1,64,1016,280,4.6,6.3,0.18
1998,1,1,18,0,0,0,0,0,0,0,91,10.8,69,1016,275,4.4,5.9,0.18
1998,1,1,19,0,0,0,0,0,0,0,100,10.0,73,1017,270,4.3,5.7,0.18
1998,1,1,20,0,0,0,0,0,0,0,108,9.5,76,1017,268,4.2,5.6,0.18
1998,1,1,21,0,0,0,0,0,0,0,114,9.2,78,1017,265,4.1,5.5,0.18
1998,1,1,22,0,0,0,0,0,0,0,120,8.9,79,1017,262,4.0,5.4,0.18
1998,1,1,23,0,0,0,0,0,0,0,125,8.7,80,1017,260,3.9,5.3,0.18
